topic_id,topic_name,metadata,property_id,equipment_id,unit,kind,dis
109469,Floor_01/DEV36226_AHU_1_01/ZONE_RH,"{""units"": ""percentRelativeHumidity"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percentRelativeHumidity,float,DEV36226_AHU_1_01/ZONE_RH
109438,Floor_01/DEV36226_AHU_1_01/ZONETEMP,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36226_AHU_1_01/ZONETEMP
109485,Floor_01/DEV36226_AHU_1_01/ZONETEMP,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36226_AHU_1_01/ZONETEMP
109609,Floor_01/DEV36228_VAVRH_1_01/ActCoolSP,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36228_VAVRH_1_01/ActCoolSP
109596,Floor_01/DEV36228_VAVRH_1_01/ActFlow,"{""units"": ""cubicFeetPerMinute"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,cubicFeetPerMinute,float,DEV36228_VAVRH_1_01/ActFlow
109595,Floor_01/DEV36228_VAVRH_1_01/ActFlowSP,"{""units"": ""cubicFeetPerMinute"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,cubicFeetPerMinute,float,DEV36228_VAVRH_1_01/ActFlowSP
109608,Floor_01/DEV36228_VAVRH_1_01/ActHeatSP,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36228_VAVRH_1_01/ActHeatSP
109617,Floor_01/DEV36228_VAVRH_1_01/CO2Sensor,"{""units"": ""partsPerMillion"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,partsPerMillion,float,DEV36228_VAVRH_1_01/CO2Sensor
109606,Floor_01/DEV36228_VAVRH_1_01/CO2Setpoint,"{""units"": ""partsPerMillion"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,partsPerMillion,float,DEV36228_VAVRH_1_01/CO2Setpoint
109601,Floor_01/DEV36228_VAVRH_1_01/ComSensor 1 CO2,"{""units"": ""partsPerMillion"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,partsPerMillion,float,DEV36228_VAVRH_1_01/ComSensor 1 CO2
109602,Floor_01/DEV36228_VAVRH_1_01/ComSensor 1 Humidity,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36228_VAVRH_1_01/ComSensor 1 Humidity
109620,Floor_01/DEV36228_VAVRH_1_01/ComSensor 1 Motion,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36228_VAVRH_1_01/ComSensor 1 Motion
109603,Floor_01/DEV36228_VAVRH_1_01/ComSensor 1 SpaceTemp,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36228_VAVRH_1_01/ComSensor 1 SpaceTemp
109616,Floor_01/DEV36228_VAVRH_1_01/DischAirSP,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36228_VAVRH_1_01/DischAirSP
